Sample,,"Baseline
Jitter (us)"
483, 8;,8
484, 5;,5
485, 8;,8
486, 4;,4
487, 1;,1
488, 4;,4
489, 8;,8
490, 6;,6
491, 2;,2
492, 7;,7
493, 3;,3
494, 9;,9
495, 6;,6
496, 3;,3
497, 4;,4
498, 9;,9
499, 5;,5
500, 1;,1
501, 4;,4
502, 6;,6
503, 2;,2
504, 3;,3
505, 1;,1
506, 9;,9
507, 3;,3
508, 3;,3
509, 5;,5
510, 5;,5
511, 2;,2
512, 3;,3
513, 4;,4
514, 4;,4
515, 2;,2
516, 1;,1
517, 7;,7
518, 9;,9
519, 7;,7
520, 1;,1
521, 9;,9
522, 3;,3
523, 2;,2
524, 7;,7
525, 5;,5
526, 6;,6
527, 6;,6
528, 3;,3
529, 7;,7
530, 3;,3
531, 7;,7
532, 7;,7
533, 708;,708
534, 0;,0
535, 8;,8
536, 7;,7
537, 9;,9
538, 4;,4
539, 0;,0
540, 5;,5
541, 4;,4
542, 5;,5
543, 4;,4
544, 0;,0
545, 0;,0
546, 8;,8
547, 5;,5
548, 4;,4
549, 7;,7
550, 2;,2
551, 7;,7
552, 4;,4
553, 4;,4
554, 2;,2
555, 8;,8
556, 9;,9
557, 4;,4
558, 1;,1
559, 5;,5
560, 5;,5
561, 6;,6
562, 5;,5
563, 3;,3
564, 7;,7
565, 2;,2
566, 4;,4
567, 1;,1
568, 1;,1
569, 1;,1
570, 5;,5
571, 5;,5
572, 5;,5
573, 4;,4
574, 3;,3
575, 3;,3
576, 0;,0
577, 7;,7
578, 8;,8
579, 7;,7
580, 2;,2
581, 5;,5
582, 6;,6
583, 3;,3
584, 2;,2
585, 6;,6
586, 1;,1
587, 7;,7
588, 7;,7
589, 4;,4
590, 7;,7
591, 4;,4
592, 7;,7
593, 0;,0
594, 5;,5
595, 2;,2
596, 0;,0
597, 4;,4
598, 0;,0
599, 7;,7
600, 6;,6
601, 8;,8
602, 4;,4
603, 4;,4
604, 8;,8
605, 5;,5
606, 3;,3
607, 5;,5
608, 2;,2
609, 5;,5
610, 2;,2
611, 8;,8
612, 3;,3
613, 0;,0
614, 2;,2
615, 1;,1
616, 7;,7
617, 8;,8
618, 6;,6
619, 5;,5
620, 4;,4
621, 8;,8
622, 6;,6
623, 0;,0
624, 5;,5
625, 3;,3
626, 4;,4
627, 5;,5
628, 1;,1
629, 6;,6
630, 5;,5
631, 6;,6
632, 4;,4
633, 6;,6
634, 6;,6
635, 5;,5
636, 0;,0
637, 8;,8
638, 9;,9
639, 7;,7
640, 6;,6
641, 4;,4
642, 6;,6
643, 5;,5
644, 2;,2
645, 5;,5
646, 2;,2
647, 6;,6
648, 7;,7
649, 8;,8
650, 2;,2
651, 0;,0
652, 1;,1
653, 1;,1
654, 4;,4
655, 2;,2
656, 2;,2
657, 2;,2
658, 3;,3
659, 8;,8
660, 2;,2
661, 5;,5
662, 8;,8
663, 5;,5
664, 6;,6
665, 4;,4
666, 1;,1
667, 504;,504
668, 2;,2
669, 5;,5
670, 8;,8
671, 2;,2
672, 4;,4
673, 5;,5
674, 7;,7
675, 0;,0
676, 4;,4
677, 7;,7
678, 1;,1
679, 4;,4
680, 6;,6
681, 1;,1
682, 2;,2
683, 7;,7
684, 7;,7
685, 0;,0
686, 1;,1
687, 3;,3
688, 4;,4
689, 5;,5
690, 0;,0
691, 3;,3
692, 8;,8
693, 2;,2
694, 0;,0
695, 1;,1
696, 3;,3
697, 1;,1
698, 4;,4
699, 8;,8
700, 5;,5
701, 0;,0
702, 3;,3
703, 1;,1
704, 0;,0
705, 1;,1
706, 1;,1
707, 4;,4
708, 7;,7
709, 1;,1
710, 3;,3
711, 5;,5
712, 2;,2
713, 7;,7
714, 4;,4
715, 0;,0
716, 4;,4
717, 0;,0
718, 6;,6
719, 7;,7
720, 9;,9
721, 2;,2
722, 0;,0
723, 4;,4
724, 0;,0
725, 5;,5
726, 6;,6
727, 1;,1
728, 2;,2
729, 1;,1
730, 7;,7
731, 2;,2
732, 2;,2
733, 7;,7
734, 1;,1
735, 5;,5
736, 0;,0
737, 7;,7
738, 2;,2
739, 4;,4
740, 0;,0
741, 5;,5
742, 2;,2
743, 9;,9
744, 3;,3
745, 6;,6
746, 1;,1
747, 7;,7
748, 6;,6
749, 6;,6
750, 5;,5
751, 6;,6
752, 4;,4
753, 2;,2
754, 3;,3
755, 7;,7
756, 6;,6
757, 3;,3
758, 9;,9
759, 5;,5
760, 5;,5
761, 5;,5
762, 7;,7
763, 8;,8
764, 1;,1
765, 4;,4
766, 2;,2
767, 4;,4
768, 3;,3
769, 1;,1
770, 6;,6
771, 4;,4
772, 3;,3
773, 2;,2
774, 4;,4
775, 2;,2
776, 8;,8
777, 6;,6
778, 6;,6
779, 1;,1
780, 7;,7
781, 4;,4
782, 0;,0
783, 2;,2
784, 5;,5
785, 5;,5
786, 1;,1
787, 8;,8
788, 2;,2
789, 1;,1
790, 3;,3
791, 2;,2
792, 3;,3
793, 4;,4
794, 7;,7
795, 6;,6
796, 9;,9
797, 8;,8
798, 1;,1
799, 4;,4
800, 0;,0
801, 5;,5
802, 1;,1
803, 6;,6
804, 7;,7
805, 7;,7
806, 0;,0
807, 1;,1
808, 0;,0
809, 9;,9
810, 2;,2
811, 2;,2
812, 6;,6
813, 1;,1
814, 0;,0
815, 8;,8
816, 6;,6
817, 4;,4
818, 5;,5
819, 2;,2
820, 8;,8
821, 2;,2
822, 2;,2
823, 4;,4
824, 3;,3
825, 8;,8
826, 6;,6
827, 2;,2
828, 5;,5
829, 3;,3
830, 5;,5
831, 2;,2
832, 9;,9
833, 3;,3
834, 2;,2
835, 5;,5
836, 3;,3
837, 7;,7
838, 3;,3
839, 5;,5
840, 4;,4
841, 7;,7
842, 1;,1
843, 8;,8
844, 8;,8
845, 2;,2
846, 1;,1
847, 4;,4
848, 5;,5
849, 7;,7
850, 5;,5
851, 6;,6
852, 9;,9
853, 9;,9
854, 4;,4
855, 3;,3
856, 6;,6
857, 7;,7
858, 4;,4
859, 2;,2
860, 7;,7
861, 2;,2
862, 9;,9
863, 0;,0
864, 1;,1
865, 4;,4
866, 7;,7
867, 1;,1
868, 4;,4
869, 5;,5
870, 7;,7
871, 4;,4
872, 1;,1
873, 8;,8
874, 2;,2
875, 0;,0
876, 6;,6
877, 7;,7
878, 4;,4
879, 4;,4
880, 9;,9
881, 3;,3
882, 2;,2
883, 0;,0
884, 4;,4
885, 5;,5
886, 6;,6
887, 2;,2
888, 5;,5
889, 4;,4
890, 6;,6
891, 4;,4
892, 0;,0
893, 6;,6
894, 2;,2
895, 1;,1
896, 7;,7
897, 7;,7
898, 3;,3
899, 5;,5
900, 1;,1
901, 4;,4
902, 8;,8
903, 3;,3
904, 7;,7
905, 1;,1
906, 8;,8
907, 3;,3
908, 4;,4
909, 8;,8
910, 4;,4
911, 0;,0
912, 0;,0
913, 0;,0
914, 8;,8
915, 7;,7
916, 6;,6
917, 3;,3
918, 0;,0
919, 1;,1
920, 7;,7
921, 2;,2
922, 8;,8
923, 9;,9
924, 7;,7
925, 1;,1
926, 6;,6
927, 1;,1
928, 5;,5
929, 8;,8
930, 2;,2
931, 9;,9
932, 6;,6
933, 0;,0
934, 0;,0
935, 3;,3
936, 2;,2
937, 0;,0
938, 4;,4
939, 0;,0
940, 8;,8
941, 2;,2
942, 2;,2
943, 9;,9
944, 3;,3
945, 7;,7
946, 4;,4
947, 0;,0
948, 5;,5
949, 7;,7
950, 5;,5
951, 21;,21
952, 9;,9
953, 3;,3
954, 2;,2
955, 7;,7
956, 5;,5
957, 9;,9
958, 6;,6
959, 8;,8
960, 3;,3
961, 2;,2
962, 6;,6
963, 8;,8
964, 3;,3
965, 1;,1
966, 0;,0
967, 3;,3
968, 4;,4
969, 7;,7
970, 5;,5
971, 8;,8
972, 0;,0
973, 7;,7
974, 4;,4
975, 3;,3
976, 2;,2
977, 8;,8
978, 7;,7
979, 3;,3
980, 8;,8
981, 5;,5
982, 8;,8
983, 1;,1
984, 3;,3
985, 6;,6
986, 7;,7
987, 4;,4
988, 0;,0
989, 8;,8
990, 3;,3
991, 341;,341
992, 8;,8
993, 3;,3
994, 0;,0
995, 0;,0
996, 6;,6
997, 6;,6
998, 0;,0
999, 2;,2
1000, 8;,8
1001, 2;,2
1002, 2;,2
1003, 4;,4
1004, 3;,3
1005, 5;,5
1006, 3;,3
1007, 2;,2
1008, 5;,5
1009, 3;,3
1010, 1;,1
1011, 2;,2
1012, 9;,9
1013, 3;,3
1014, 3;,3
1015, 3;,3
1016, 2;,2
1017, 0;,0
1018, 8;,8
1019, 3;,3
1020, 5;,5
1021, 1;,1
1022, 6;,6
1023, 9;,9
1024, 3;,3
1025, 0;,0
1026, 7;,7
1027, 4;,4
1028, 5;,5
1029, 7;,7
1030, 5;,5
1031, 9;,9
1032, 9;,9
1033, 3;,3
1034, 4;,4
1035, 7;,7
1036, 0;,0
1037, 1;,1
1038, 7;,7
1039, 3;,3
1040, 8;,8
1041, 1;,1
1042, 0;,0
1043, 5;,5
1044, 3;,3
1045, 3;,3
1046, 7;,7
1047, 5;,5
1048, 4;,4
1049, 8;,8
1050, 2;,2
1051, 0;,0
1052, 6;,6
1053, 9;,9
1054, 4;,4
1055, 9;,9
1056, 9;,9
1057, 0;,0
1058, 3;,3
1059, 2;,2
1060, 9;,9
1061, 5;,5
1062, 2;,2
1063, 7;,7
1064, 8;,8
1065, 7;,7
1066, 0;,0
1067, 6;,6
1068, 4;,4
1069, 9;,9
1070, 1;,1
1071, 7;,7
1072, 8;,8
1073, 3;,3
1074, 2;,2
1075, 3;,3
1076, 0;,0
1077, 3;,3
1078, 3;,3
1079, 5;,5
1080, 1;,1
1081, 9;,9
1082, 2;,2
1083, 8;,8
1084, 3;,3
